layer,feature,accuracy,f1,n_train,n_test,n_pos_train,n_pos_test,layer_name
0,ARG0,0.6195234435049961,0.0,65799,2602,20277,990,embedding
0,ARG1,0.8601076095311299,0.9247933884297521,65799,2602,55279,2238,embedding
0,ARG2,0.6594926979246734,0.7948124131542381,65799,2602,42233,1716,embedding
0,neg,0.9400461183704842,0.0,65799,2602,2686,156,embedding
0,time,0.9400461183704842,0.0,65799,2602,9085,156,embedding
1,ARG0,0.6998462720983859,0.45574912891986064,65799,2602,20277,990,layer_1
1,ARG1,0.8608762490392006,0.9249274160099544,65799,2602,55279,2238,layer_1
1,ARG2,0.6794773251345119,0.7857142857142857,65799,2602,42233,1716,layer_1
1,neg,0.9400461183704842,0.0,65799,2602,2686,156,layer_1
1,time,0.9377401998462721,0.10989010989010989,65799,2602,9085,156,layer_1
2,ARG0,0.681783243658724,0.33225806451612905,65799,2602,20277,990,layer_2
2,ARG1,0.8620292083013067,0.92571901510449,65799,2602,55279,2238,layer_2
2,ARG2,0.675249807840123,0.7916152897657214,65799,2602,42233,1716,layer_2
2,neg,0.9400461183704842,0.0,65799,2602,2686,156,layer_2
2,time,0.9400461183704842,0.012658227848101266,65799,2602,9085,156,layer_2
3,ARG0,0.7025365103766333,0.40916030534351144,65799,2602,20277,990,layer_3
3,ARG1,0.8604919292851653,0.9249534835641927,65799,2602,55279,2238,layer_3
3,ARG2,0.6767870868562644,0.7867106264265787,65799,2602,42233,1716,layer_3
3,neg,0.9400461183704842,0.0,65799,2602,2686,156,layer_3
3,time,0.9373558800922367,0.0,65799,2602,9085,156,layer_3
4,ARG0,0.7455803228285934,0.6382513661202186,65799,2602,20277,990,layer_4
4,ARG1,0.8585703305149884,0.9238725693007861,65799,2602,55279,2238,layer_4
4,ARG2,0.7079169869331283,0.7933659597607395,65799,2602,42233,1716,layer_4
4,neg,0.9400461183704842,0.0,65799,2602,2686,156,layer_4
4,time,0.936587240584166,0.09836065573770492,65799,2602,9085,156,layer_4
5,ARG0,0.7609531129900077,0.6829765545361876,65799,2602,20277,990,layer_5
5,ARG1,0.8593389700230591,0.9222929936305733,65799,2602,55279,2238,layer_5
5,ARG2,0.7144504227517294,0.7829389424481449,65799,2602,42233,1716,layer_5
5,neg,0.9419677171406611,0.14689265536723164,65799,2602,2686,156,layer_5
5,time,0.9485011529592621,0.5379310344827586,65799,2602,9085,156,layer_5
6,ARG0,0.7813220599538816,0.7041081643265731,65799,2602,20277,990,layer_6
6,ARG1,0.8481936971560338,0.9152905854600043,65799,2602,55279,2238,layer_6
6,ARG2,0.6979246733282091,0.7666270783847982,65799,2602,42233,1716,layer_6
6,neg,0.9427363566487318,0.2358974358974359,65799,2602,2686,156,layer_6
6,time,0.9323597232897771,0.4913294797687861,65799,2602,9085,156,layer_6
7,ARG0,0.7728670253651038,0.7019667170953101,65799,2602,20277,990,layer_7
7,ARG1,0.8481936971560338,0.9162603349586602,65799,2602,55279,2238,layer_7
7,ARG2,0.7025365103766333,0.7716814159292036,65799,2602,42233,1716,layer_7
7,neg,0.9342813220599538,0.3020408163265306,65799,2602,2686,156,layer_7
7,time,0.9404304381245197,0.5110410094637224,65799,2602,9085,156,layer_7
8,ARG0,0.7874711760184473,0.7127272727272728,65799,2602,20277,990,layer_8
8,ARG1,0.8524212144504227,0.9186095803306485,65799,2602,55279,2238,layer_8
8,ARG2,0.7148347425057648,0.7877574370709383,65799,2602,42233,1716,layer_8
8,neg,0.9435049961568025,0.26865671641791045,65799,2602,2686,156,layer_8
8,time,0.9388931591083781,0.4887459807073955,65799,2602,9085,156,layer_8
9,ARG0,0.781706379707917,0.7035490605427975,65799,2602,20277,990,layer_9
9,ARG1,0.8547271329746349,0.9202867988190637,65799,2602,55279,2238,layer_9
9,ARG2,0.6990776325903152,0.7733719247467439,65799,2602,42233,1716,layer_9
9,neg,0.9415833973866257,0.2897196261682243,65799,2602,2686,156,layer_9
9,time,0.930053804765565,0.4678362573099415,65799,2602,9085,156,layer_9
10,ARG0,0.7663335895465027,0.6741693461950696,65799,2602,20277,990,layer_10
10,ARG1,0.8608762490392006,0.9235964542000844,65799,2602,55279,2238,layer_10
10,ARG2,0.7144504227517294,0.7949213359094673,65799,2602,42233,1716,layer_10
10,neg,0.9381245196003074,0.27802690582959644,65799,2602,2686,156,layer_10
10,time,0.9277478862413528,0.4012738853503185,65799,2602,9085,156,layer_10
11,ARG0,0.7463489623366641,0.6636085626911316,65799,2602,20277,990,layer_11
11,ARG1,0.8578016910069177,0.9217428087986463,65799,2602,55279,2238,layer_11
11,ARG2,0.7044581091468102,0.7862107311648596,65799,2602,42233,1716,layer_11
11,neg,0.9362029208301307,0.23148148148148148,65799,2602,2686,156,layer_11
11,time,0.9100691775557264,0.35359116022099446,65799,2602,9085,156,layer_11
12,ARG0,0.7605687932359724,0.6652337452982268,65799,2602,20277,990,layer_12
12,ARG1,0.8578016910069177,0.9224643755238894,65799,2602,55279,2238,layer_12
12,ARG2,0.7063797079169869,0.7904552934722984,65799,2602,42233,1716,layer_12
12,neg,0.9381245196003074,0.19095477386934673,65799,2602,2686,156,layer_12
12,time,0.9142966948501153,0.3498542274052478,65799,2602,9085,156,layer_12
